,cluster_id,no of V,no of E,width,len,inputs,outputs,fund_in,fund_out
3342,0x61e0a0b67399ac18210cf7a8fb4d89af2317e87ae6d9d1f559ba7c6d1151180d,2,1,1,1,['0x3bd0bf84f2bda1a0b9500caf7ddd68040de8f191'],['0x4f04f7b12d2c467694c424bc23dec4f4fc434f60'],25.0,25.0
3343,0x2177b5a187c4ebac955004c81a06233017e573f483e06f8cfaba083e1c888ca3,2,1,1,1,['0xd2d3f12cdd8734aec852603241ec06cf9bb5ecc6'],['0xc6c8978c4a213ebde8734432c75a7b5409999999'],15.651045411266303,15.651045411266303
3344,0x6e88611ca832a52193d03c2918a9479c75e1e1be760b6ec810d705f3ea45426f,2,1,1,1,['0xa35ca7fc49507f919623b2305e3d6bf1774fd02b'],['0x3dea567d5e6efa72befde3540494ee3ec63eddb7'],5.0,5.0
3345,0xcac51aa59899cc6f76858f876ca4543cd408d2d95bffc1eb07af742f2047515b,4,3,3,1,"['0x1e00efab5974f349deea534f46b61f4dc2009f1f', '0xd88edabf0f9f76f366c888393dc4326d19768ae1', '0x0e70795ea054eff77a8634e895e1719f138667b0']","['0x829692f36c79f2b9ca9a4e612856e62ec0a196ad', '0xd88edabf0f9f76f366c888393dc4326d19768ae1', '0x0e70795ea054eff77a8634e895e1719f138667b0']",1.400078,3.2
3346,0xde004d0fb115dd3eabfdff4b339fef21bd5e3c0cdcacdd96d4f860b03d6a02cd,3,2,1,2,['0x17de735d3035b1303422c30bb02cbf39f3c4b24e'],['0x04eb83f764d4930beed94698a0c440a1950302fa'],2.189516186481281,2.1770870635616237
3347,0xaf84c862163f8aa2410d02f15e70a428e542b00a118fcf3887b09b174766aae5,4,4,4,1,"['0x6714572885ea25c2b8e8e089dfbbdb93261214c1', '0x533708ac5ab11f63edeeb4a3d42ab99105ceb715', '0x93f3ff49e1af6b9f3267311c17243b23b93bc803']","['0xab53331bc7b2b39a680b650092331b385f21fd72', '0x533708ac5ab11f63edeeb4a3d42ab99105ceb715', '0x93f3ff49e1af6b9f3267311c17243b23b93bc803']",1.9099880712217299,2.9758058844727806
3348,0x3a23d8359cb6042d68426f1139002156da4a024be5424fcbdce4ae17aab198b5,3,2,1,2,['0xf106f00ed1ecfb09349854000ee38cb128090908'],['0x577d2cc000a99aab1d81ab5a165078322798efa6'],1.463209600593404,1.438288018735873
3349,0xdb5a343151383c39e6c5dedff91874044ea8ecc94533fde65397b647e8c6482a,2,1,1,1,['0xbd5cfb4786d964c25c7c4f140086fa704b5e9eab'],['0x5630336515e9bb5ed0a8b18519a26f232882acdc'],0.782,0.782
3350,0x3bdf333e0bbb16a58ae9f1773fb5d56fc505b06c2bb189941aab99206975cf1a,2,1,1,1,['0x6cae90be1de9756e4932c2be8a98584177b4e291'],['0x52f2f0b25e2a404db809ace20dd20189eae86ddc'],0.7089633520745371,0.7089633520745371
3351,0x4b1a0d4e86ce28ef3a53131468d8651bc506aafb4093c1195038e1f743a41fdf,3,2,1,2,['0x70d1c089d1d857db31e8467c0e04ac1fb7eb17b2'],['0x630935d6f4f91abbedd47ec2ca345a064447dcd7'],18.374306272455936,18.650235753693707
3352,0xa2e6fee98d41147a45cbd46ac3f5ffbcdb779e30b292ac88b50255862ebc68f8,2,1,1,1,['0xb971966b4bee27c440ae00fd3c474a1949a608a3'],['0x604bacd7b49c21d449b134ba3e0ea79ce4e5a845'],35.54,35.54
3353,0x68f1f8f0a4c8878f2a32fa8a95c666374edba7cb6b128a09270a4b657534f644,3,2,2,1,"['0x82de9fb7627754a3afac49956ca331138d27b0b5', '0x35ad825a3e068c0f35817d85b08ca39d7e65884c']",['0x5412d7973883e542cdc72d570fb217ee17fab63a'],14.196040268708774,14.196040268708774
3354,0xd2f355d5119e1659cfa08e05dc60504962af80b5a51244e709e503f72ffb91e9,2,1,1,1,['0x3b85b3841e860ace2ec96f96a883d5dc0af52763'],['0x187546f73842baf12e0d746855b6da6efcfd9a5a'],4.738218814965008,4.738218814965008
3355,0x71a6660242d398648fb3ed559023ced44b58f7de3cdfc886534050c940f44e8f,2,1,1,1,['0xbe820ce2e15ebcf29313d727449fa57d9baeb153'],['0x466f8398f85f12bd0848ba56a4a27afa6f57576f'],6.383163488395114,6.383163488395114
3356,0x4339e9207990af073dfa1013ecdf960c5e28d418bd8f7a887145c32554abe0eb,2,1,1,1,['0xdba08da66a7fbbd0ee77a6ed59183e1a23da2b55'],['0xc4bef022efbf347ac8f3a40829f397ced799ccb6'],14.576429095732124,14.576429095732124
3357,0x4fedf5435d8c230c5a465a20baac76ad5bd6454473396e4a13f2bc312c96e73f,3,2,1,2,['0x1338ae04a16b32da16342bbf930f30a3bb6653bd'],['0xc49767c47b055a6523deadb3e5e9d5b6cb2b7a68'],15.074112355879,14.926383491879
3358,0x48f17e083d59b23fb49770b25cbeb7649eb89f944b16fe8f8556d95d4c2042ea,2,1,1,1,['0x34b7fa1e1ac9ee50ad8b852eade21c5de4ee3038'],['0x5ed098bbfe3b76a4893798cc0ef873b3c6f5cafe'],0.140886785,0.140886785
3359,0xafacff6b47cf7cc405c0d575553bd11d6816d57e4f206741fe653f67553b8b35,2,1,1,1,['0xcc15ed7e2f93a3a679b8e18e4313ee9a5071f3ad'],['0xf4fbb3194b26fda2b5f789e165559e9e59d256cc'],1.7256,1.7256
3360,0x8c44cd8f38356f2403869dacbfc9cea4e0c02402ed7ad54127d1074dda52061d,4,3,1,3,['0x9dcb9d0bdefad8c08d51c976db3c51493af4e465'],['0x087f8b1a338f20c2f26150da78cfd5e91d74cc91'],4.852049263244318,5.0
3361,0x980176ba713d66571f67bd9cd36debc1837e39518f4091a1c9259a434328cb1f,2,1,1,1,['0x378f5b49bfea6f6ae985baecadd459b5588b2d8a'],['0x969f46570cf71d883f98625fb6ec20a429967212'],4.014563659376321,4.014563659376321
3362,0xa3ad11c2b8483d58cbf4720aafad8c5d4b8a03162ee492af1b8b4982460ecb42,3,2,1,2,['0x02e162ee2c3e2c7b6ec33d01dd6d2ad8bf501226'],['0x22670dd04b9cb6276037c7524f2c9acd7cf0f16a'],2.134789382338295,2.333667407781432
3363,0xf3daff5bdb71e73071878fcda37f309395974f529b50d67c6733ef44c1a24f3a,2,1,1,1,['0x072d71d5d5fb941b666a39059ad0381d0099152e'],['0x524f8c3dad416c831d6e75867f78a98202ba8925'],8.0,8.0
3364,0xe8c04a2cdf51cc1f365b00282079062b99f3e29106dbdee23007fca38d2f932e,2,1,1,1,['0x9db64eb6e0a4a12b6645ba49effe24eb3d8d74fb'],['0xb6c525316db0d76dbfc445d0a25bcabbb579680f'],3.361476,3.361476
3365,0x0406bf1e8df9c965c8b7281b7847c31459327ec879c0b0d409b06c9b826e3382,2,1,1,1,['0x3e4eb797a39232f16dfe0905a71282d3f60616e4'],['0x7cf6e0ef27e8f0c438e224cc6227f09ec6dbd398'],49.15064,49.15064
